coordination,base_planner,problem_id,difficulty,trial_seed,success,planner_solved,audit_passed,planning_time_seconds,path_makespan_seconds,path_mean_agent_time_seconds,path_cost,tree_nodes,high_level_nodes,iterations,checked_waypoints,error
kcbs,flow,2,hard,2026082211,False,False,False,30.012859199996456,,,,2251,1,5,71944,
kcbs,flow,2,hard,2026082212,False,False,False,30.00238150000223,,,,1972,1,133,67047,
kcbs,flow,2,hard,2026082213,False,False,False,30.000152499997057,,,,2069,1,1546,69392,
kcbs,flow,2,hard,2026082214,False,False,False,30.053274700003385,,,,2000,1,320,66661,
kcbs,flow,2,hard,2026082215,False,False,False,30.010437400000228,,,,2391,1,0,71446,
kcbs,flow,2,hard,2026082216,False,False,False,30.00290600000153,,,,2249,1,2251,74381,
kcbs,flow,2,hard,2026082217,False,False,False,30.009948500002793,,,,2326,1,161,67242,
kcbs,flow,2,hard,2026082218,False,False,False,30.007492799995816,,,,2182,1,0,66092,
kcbs,flow,2,hard,2026082219,False,False,False,30.045478200001526,,,,2177,1,5,71343,
kcbs,vanilla,0,easy,2026082200,True,True,True,2.599701700004516,0.3,0.255,1.02,9,1,1,377,
kcbs,vanilla,0,easy,2026082201,True,True,True,0.1292064000008395,0.28,0.245,0.98,8,1,0,512,
kcbs,vanilla,0,easy,2026082202,True,True,True,0.27330390000133775,0.26,0.235,0.94,10,1,2,1190,
kcbs,vanilla,0,easy,2026082203,True,True,True,0.1895728000017698,0.24,0.2,0.8,8,1,0,354,
kcbs,vanilla,0,easy,2026082204,True,True,True,0.24258820000250125,0.3,0.265,1.06,11,1,3,1063,
kcbs,vanilla,0,easy,2026082205,True,True,True,0.16926389999571256,0.24,0.21,0.8400000000000001,10,1,2,756,
kcbs,vanilla,0,easy,2026082206,True,True,True,0.2768160999985412,0.32,0.255,1.02,13,1,5,1213,
kcbs,vanilla,0,easy,2026082207,True,True,True,0.31556799999816576,0.32,0.255,1.02,13,1,5,1471,
kcbs,vanilla,0,easy,2026082208,True,True,True,0.10651599999982864,0.32,0.245,0.98,8,1,0,443,
kcbs,vanilla,0,easy,2026082209,True,True,True,0.4584476000018185,0.62,0.33499999999999996,1.34,15,1,7,1969,
kcbs,vanilla,0,easy,2026082210,True,True,True,0.08737800000380957,0.24,0.20500000000000002,0.8200000000000001,8,1,0,324,
kcbs,vanilla,0,easy,2026082211,True,True,True,0.13708469999983208,0.3,0.235,0.94,9,1,1,532,
kcbs,vanilla,0,easy,2026082212,True,True,True,0.1929833000031067,0.24,0.21,0.84,9,1,1,757,
kcbs,vanilla,0,easy,2026082213,True,True,True,0.10508699999627424,0.26,0.24,0.96,8,1,0,375,
kcbs,vanilla,0,easy,2026082214,True,True,True,0.05903720000060275,0.28,0.25,1.0,8,1,0,221,
kcbs,vanilla,0,easy,2026082215,True,True,True,0.578128299996024,0.28,0.235,0.9400000000000001,18,1,10,2435,
kcbs,vanilla,0,easy,2026082216,True,True,True,0.4031933000005665,0.26,0.235,0.94,13,1,5,1640,
kcbs,vanilla,0,easy,2026082217,True,True,True,0.17655479999666568,0.24,0.22499999999999998,0.8999999999999999,8,1,0,473,
kcbs,vanilla,0,easy,2026082218,True,True,True,0.12091890000010608,0.32,0.26,1.04,9,1,1,461,
kcbs,vanilla,0,easy,2026082219,True,True,True,0.17727870000089752,0.38,0.24500000000000002,0.98,10,1,2,786,
kcbs,vanilla,1,medium,2026082200,False,False,False,30.442849099999876,,,,514,1,255,91855,
kcbs,vanilla,1,medium,2026082201,False,False,False,30.041489499999443,,,,504,1,0,92649,
kcbs,vanilla,1,medium,2026082202,False,False,False,30.051760499998636,,,,496,1,200,86435,
kcbs,vanilla,1,medium,2026082203,False,False,False,30.020606099998986,,,,511,1,0,92453,
kcbs,vanilla,1,medium,2026082204,False,False,False,30.036997899995185,,,,485,1,0,91661,
kcbs,vanilla,1,medium,2026082205,False,False,False,30.01487420000194,,,,414,1,0,83476,
kcbs,vanilla,1,medium,2026082206,False,False,False,30.019933099996706,,,,558,1,0,103016,
kcbs,vanilla,1,medium,2026082207,False,False,False,30.04386279999744,,,,443,1,0,84199,
kcbs,vanilla,1,medium,2026082208,False,False,False,30.0029663000023,,,,443,1,0,81964,
kcbs,vanilla,1,medium,2026082209,False,False,False,30.040329100003873,,,,426,1,0,88939,
kcbs,vanilla,1,medium,2026082210,False,False,False,30.034305699999095,,,,413,1,0,85967,
kcbs,vanilla,1,medium,2026082211,False,False,False,30.034679500000493,,,,544,1,0,98284,
kcbs,vanilla,1,medium,2026082212,False,False,False,30.047074999994948,,,,429,1,0,86829,
kcbs,vanilla,1,medium,2026082213,False,False,False,30.027951700001722,,,,516,1,0,89577,
kcbs,vanilla,1,medium,2026082214,False,False,False,30.020461600004637,,,,439,1,0,87652,
kcbs,vanilla,1,medium,2026082215,False,False,False,30.0368684999994,,,,545,1,421,101807,
kcbs,vanilla,1,medium,2026082216,False,False,False,30.006516499997815,,,,448,1,0,86365,
kcbs,vanilla,1,medium,2026082217,False,False,False,30.026219200000924,,,,548,1,0,96590,
kcbs,vanilla,1,medium,2026082218,False,False,False,30.02073609999934,,,,551,1,0,99984,
